Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
Almacen lady,Calle 23 # 4-71 cota,3105594986,4203062946,Tienda,No Responde,NO,Fernando.pena@hotmail.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Almojabanas huilences,Calle 11 4 04 avenida suba,3213770911,3213770911,Panadería,No Responde,SI,ignahuerta82@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Almuerzo Casero,Calle 13 # 3-15,3115650091,3115639216,Cocinera,No Responde,SI,vivianaospina.m@gmail.com,1 a 5,No,No,Arrendado,No responde,3,No,Acepto,No,Emprendedor
Aluvidrios cota,Carrera 5 #14-36,3208699532,3108502556,Venta de vidrios y aluminios,No Responde,SI,Aluvidrioscota@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,20,Sí,Acepto,No,Comerciante
Ambar Terapias Alternativas,camino San Nicolas,3115151018,3204061427,Otro,Sauna y masajes,SI,rosargom@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Amor y verdad,Sin dirección física,3144035863,0,Otro,"servicio de psicología virtual o a domicilio basada en el amor propio y el autoconocimiento,",SI,Amor.verdad.amor@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Andrea Franco,Variante cota chia,3124894594,0,Otro,"Gel antibacterial, sanitizante, desinfectante y alcohol",SI,Afm0902@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Andres BC,Calle 13 # 1-60,3125384112,0,Tienda,No Responde,SI,andresbalcero11@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
ANDRÉS BURGER,Palo de agua,3205480355,0,Restaurante,No Responde,SI,andres.gallego0627@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
andresgo,Calle 4 Numero 6 - 85 Conjunto Natura,3115397976,0,Publicidad y marketing,No Responde,NO,andres.gomezgarnica@gmail.com,Trabajo dependiendo del poryetco.,No,No,Propio,No responde,9,No,Acepto,No,Emprendedor
ANTOJITOS COTA.,San isidro,3232253453,3172134030,Otro,Sas,SI,Fonsecalizethjohana@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Antojos la Cabaña,Cra 5 # 7-80 local 124,3108593968,3152296695,Fábrica de alimentos,No Responde,SI,antojoslacabana@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Emprendedor
ARAGUANA restaurante parrilla,Camellón de las flores Vereda cetime,3202809651,0,Restaurante,No Responde,SI,oscarmonroya@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Araguaney,Call13#4_15,3112295536,3222607516,Comida rápida,No Responde,NO,Linaprices13@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,12,No,Acepto,No,Comerciante
Aranea - destreza artesanal,diagonal 11 #4-34,3008811654,3192038371,"Venta de artículos artesanales, plantas y productos naturales",No Responde,SI,violetadyrt@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
ARAUCO COLOMBIA S.A.,Autopista Bogotá - Medellín AV CL 80 KM 2 VIA COTA PARQUE EMPRESARIAL TECNOLOGICO TORRE A OFC 501 MUNICIPIO COTA (CUND),7427470,7427470,Otro,DISTRIBUCIÓN DE MADERA PROCESADA MELAMINA,NO,colombia@mail.gosocket.net,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Bordados Industriales LA,Cra 8A No. 4-81,3132829658,0,Fabricacion de bordados en uniformes y dotaciones,No Responde,SI,bordadosindustrialesla@hotmail.com,1 a 5,No,Sí,Propio,No responde,17,No,Acepto,No,Emprendedor
Area importaciones,Km 12.6 variante chia -cota  bodegas 3 y 5,3022782408,0,Otro,Venta de pisos y enchapes importados,SI,Areaimportaciones@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Arepas Boyacenses Los Andes,Cr 5 #3-34,3508882502,3204189048,Elaboración de productos de panadería,No Responde,SI,Ryan-score35@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,11,No,Acepto,No,Micro empresario
Argot Productos Miofuncionales,Carrera 9#4-08,3108083636,0,Otro,Equipos para Fonoaudíologos/Bioseguridad en salud,NO,argotproductosmiofuncionales@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
ARQUITECH VIDRIO Y ALUMINIO,Carrera 2 #16 a 49,3212600433,3154318894,Otro,Vidrio y Aluminio,SI,frarquitech@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
ARTE FLORAL COTA,CARRERA 6 No 14-24,3134807075,3158833882,"VENTA DE ARREGLOS FLORALES, Y DECORACION DE EVENTOS",No Responde,SI,marinadelacruzh@yahoo.com,1 a 5,Sí,Sí,Propio,No responde,33,Sí,Acepto,No,Comerciante
ARTE Y MODA BOUTIQUE,Cra 4. # 12-95,3002987005,8640922,Otro,ALMACÉN DE ROPA,SI,modayartela17@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Artleandro,Vereda el abra alto de la cruz,3125068933,0,Otro,Artístico,SI,arteleandro3.4@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Asadero Bahia,Km1 via Cota-Chia,3132453147,3203875168,Restaurante,No Responde,NO,Arizabahia@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
ASADERO LA ISLA,Cra 5 #5_28,3114798434,3133196745,Venta de alimentos preparados a la mesa,No Responde,SI,omar1979andres01@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,20,No,Acepto,No,Comerciante
Asadero Meson y campo,Km 2.5 vía siberia cota parcela 12,3142364564,3045608990,Restaurante,No Responde,NO,Torresochoa2000@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Asadero restaurante  puerto rico,Km 1 via. Cota. Suba,3203545064,3127145144,Restaurante,No Responde,NO,Julieth44rodriguez@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Asadero restaurante el chispazo de cota,Km 1 via cota -chia,3112652090,0,Restaurante,No Responde,NO,Edwardariza1410@ gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Aselogistic Ltda,Parcelas 44,3112696465,3219118733,Otro,"Operador logístico internacional, agencia aduanera, transporte nacional e internacional. Comercio exterior, importaciones e importaciones, bodega aduanera, operaciones OTM desde cualquier parte del mundo.",SI,aselogistic@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Atrapasueños,Calle 13 # 3a -07,3212032554,3134091902,Otro,"Almacén de cobijas, cubrelechos, duvets, almohadas, sábanas y demás",SI,Lauragabrielavegaleon@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
AUDIO CAR LA 11,Calle 11 #3-60  local  1,3138438275,0,Otro,Técnicos en electrónica televisión y sonido,NO,Julio91bojaca@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Avemaría Cakes,Calle 8 # 2-164,3133931025,0,Otro,Repostería,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Avicola San Martín,Carrera 4 # 13 21,3118710342,3108629260,Tienda,No Responde,NO,Naty.nat1319@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Avicota,Calle 11#4 _22,3144288960,3173780280,Venta de pollo,No Responde,NO,"miltonbarajaspalacios@gmail,com",1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Barbería&peluquería Co,Carrera 5 # 10-61,3123245575,0,Peluquería,No Responde,NO,Dagarzon96@misena.edu.co,1 a 5,No,No,Arrendado,Entre 1.000.000 y 3.000.000,10,No,Acepto,No,Comerciante
Barberia&peluqueriaCo,Carrera 5 Nro 10-61,3123244575,3058556591,Barberia y Peluqueria,No Responde,NO,dagarzon96@misena.edu.co,1 a 5,No,No,Arrendado,Entre 1.000.000 y 3.000.000,1,No responde,Acepto,No,Comerciante
Basmati restaurante,Cll14#6-25Av el Libertador,3017912789,0,Preparación de alimentos,No Responde,SI,Claumo06@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Emprendedor
Beauty specialists,Carrera 4#11-34 cota,3133640112,0,Todo servicio de  peluquería,No Responde,NO,Erikkasi@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Micro empresario
Bicicleteria cross country,Cll 11 # 4-37,3125335965,8965152,Otro,Bicicleteria,NO,alfonsogarciauribe@rocketmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Bicicleteria JISAN,Calle 14 # 8-75,3164573604,3012213137,Otro,Bicicleteria,SI,Samisaca8@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Billar Buchanans,Cr 5 # 12-93 piso 2,3127771091,0,"Entretenimiento venta de licor, agua, refrescos",No Responde,NO,jomartomu11@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Billares Buchanan's,Carrera 5 # 12-93 Piso 2,0318642435,3127771091,Otro,Billares y entretenimiento,NO,jomartomu11@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Biorganic tienda saludable,Calle 11# 6- 02,3142952918,3125685639,Comercio al por menor de productos alimenticios especializados,No Responde,SI,Biorganictienda@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,No,Comerciante
Botón y Dedal,Calle 13 #4-06 local 102,3134269476,0,Otro,Mercería lanas hilos textil,NO,Charol_oro1@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
BOX BURGER COTA,Cll. 10 # 05 - 03,3166342196,0318787882,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Business Seguros & Bienes Raices,Vereda El Abra oficina 301 Pie de Monte,3208599519,0,Seguros y bienes raices,No Responde,SI,Linaparojas@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,10,No,Acepto,No,Micro empresario
"Café Batavia, café de origen",Conjunto residencial Altos de Cetime casa 2A,3202694220,8641439,4922,No Responde,SI,Luz_darylopez@hotmail.com,1 a 5,Sí,Sí,Propio,No responde,3,No,Acepto,No,Emprendedor
Café internet Luna azul4444,Km 1 vía cota - chia vereda la Moya camellón los manzanos,3104821284,3203197113,Tienda,No Responde,NO,Eternajuventud23@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Cafetería Central,Carrera 5 # 13 a 45,3213192958,3115028350,Cafetería,No Responde,SI,Tetitolr@hotmail.com,1 a 5,No,Sí,Propio,No responde,30,No,Acepto,No,Comerciante
Cafetería y frutería antury,CRA 5 n 13 a 03 local 1,3143292937,3132828958,Frutería y cafetería antury,No Responde,SI,arisbo@hotmail.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,5,No,Acepto,No,Comerciante
Calzado Salomon de Bucaramanga,carrera 4#13-23,3123718274,3123718274,venta de calzado y accesoriod,No Responde,SI,yurymatariza@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Comerciante
Calzakits,Carrera 5 #13-15 loca 102,3506928243,3124445612,Venta al por menor de Calzado,No Responde,NO,davidvilla0410@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,No,Acepto,No,Comerciante
Campanario,Calle 13 #6b-08,3144104206,3108683113,Restaurante,No Responde,SI,garcia-hector@outlook.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Canchas de tejo donde martha,Cra 5 #15-20,3132081759,3103048456,Tienda,No Responde,NO,Ladysanchezjohan@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Canchas de tejo el paraíso,Cra 2 #6-86 pueblo viejo (canchas donde rozó ),3007287851,3105652890,Tienda,No Responde,NO,Pilisita_864@ Hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Canes Club House,"Parcelas Cota, globo 2 finca 24",3157773348,0,Guardería Canina,No Responde,SI,canesclubhouse@gmail.com,1 a 5,Sí,No,Propio,No responde,2,No,Acepto,No,Emprendedor
Capas y colores,Cr 4 # 11-17 local 5,3108837823,3164234325,Otro,Peluquería,NO,Lukas1478@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Capital Beer & Lounge,"Camellón de las flores , finca villa del pilar",3142241632,0,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Capital ice Cream Rolls,Camellón de las flores finca villa del pilar,3185274631,3142241632,Heladería,No Responde,SI,Pilaresquivel9@gmail.com,1 a 5,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Emprendedor
Capuchinet Café,Cra 4#12-94,3192729265,8641692,Otro,Café y sandwich,SI,caleroscopio@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Carnes Finas la Esperanza,Kra 5 # 6- 21. Barrio la Esperanza,3125876656,3103222137,Otro,"Venta de carne de res, cerdo, pollo, pescado, quesos, huevos, tomate.",SI,maja0809@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
carnes la argentina jd,carrera 5 # 13a - 52,8965934,3124980455,comercio  al por menor de carnes,No Responde,SI,carneslaargentinajd@gmail.com,6 a 10,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No responde,Acepto,No,Micro empresario
"CARNES, SOPAS Y PESCADOS",Crr 6 # 13 - 31,3007592951,3133612249,RESTAURANTE DE COMIDA TIPICA COLOMBIANA,No Responde,SI,Carnessopasypescados@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,Sí,Acepto,No,Emprendedor
Carpincota,Cr 2 No. 4 - 45,3118579757,3102416489,Otro,Carpintería,SI,patricia.salcedo.suarez.ps@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Casa brillante M.L,Avenida libertador calle 14 # 5 -48,3042461493,0,Otro,Venta de productos de aseo y desechables,NO,Joelestremor3@gmail,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Casa Campesina Tía Ana,calle 13 A #3-62,3504868044,0,Restaurante,No Responde,SI,restaurantecasacampesina@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
CEA MCLAREN COTA,Calle 8. # 2b-90,3196708336,3173259051,McLaren Cota,No Responde,NO,mclarencota1@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,Sí,Acepto,No,Empresario
Ceba,Round point Siberia,3185215685,6534806,Tienda,No Responde,SI,Siberia@ceba.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Centro bonsai sol naciente cota,Kilometro 1.8 via cota chia,3112023168,0,"Venta de arboles,suculentas,hortalizas",No Responde,SI,alvarocarrilo@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,12,Sí,Acepto,No,Comerciante
Centro Sebas,Calle 11 4-50,3209127677,0,Otro,Automotriz,SI,cgservicio871@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ceramicolsa SAS,Vrda Vuelta Grande 150 M Gt Siberia Complejo Logistico Industrial Siberia CLIS Bod 10 Bl E,8759064,0,Importacion y distribución de Acabados de Construcción,No Responde,SI,recursoshumanosbta@intermatex.net,63,Sí,Sí,Propio,No responde,25,Sí,Acepto,No,No Responde
CERRAJERIA LA PRINCIPAL,Calle 11 N 5-32,3202962855,3102335938,Cerrajeria residencial  y automotriz,No Responde,SI,Yeimygarcia59@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,10,No,Acepto,No,Micro empresario
CHAMACOS,CARRERA 5Ta -13A-91,3138640875,3224070017,Venta ropa y calzado  para niño,No Responde,NO,Luchacho075@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Comerciante
Chancho Villa,Calle 11#5-16,+573174046088,0,Restaurante,No Responde,NO,jhonj062@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Chocolates Claudia,Calle 8 # 7-99 interior 2,3002899690,0,Elaboración artesanal de bomboneria de chocolate,No Responde,SI,correo@chocolatesclaudia.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,20,No,Acepto,No,Emprendedor
chocota,cll 4# 5-138,3132823768,0,elaboracion de empanadas y chocolates artesanales,No Responde,SI,laursg98@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,7,No,Acepto,No,Emprendedor
Chorizo santarrosano,Carrera 5 #13-22,3144683409,3216492306,Otro,Comidas alimentos,SI,ticosscoffe@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ciber esquina 2,Calle 13 No. 2B-95:Local 103,3162793920,8787501,Otro,Miselanea e internet,NO,ciberesquina202@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ciclo record,Calle 14# 5-26 cota,3203062946,3105594986,Otro,Bicicleteria,NO,Fernando.pens@hotmail.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Cielito lindo,Crr 6 #12 29,3142961040,3118549780,Bebidas,No Responde,SI,Cabreraacostayenipaola@gmail.com,1 a 5,Sí,Sí,Propio,No responde,2,Sí,Acepto,No,Emprendedor
CIGLOP SAS,Calle 13 #4-34,3125632849,0,TECNOLOGÍA,No Responde,SI,comercial@ciglop.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,3,Sí,Acepto,No,Emprendedor
CINCO ONCE SAS,KM 1.5 AUTOPISTA MEDELLIN,3173316349,0,Otro,Comercio al por menor de lubricantes,SI,administracion@cincoonce.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Cioccolato heladería,Calle 11 #4-81,3222377534,3107878314,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Clases de matemáticas,Cra 2 14a_09,3114896925,0,Otro,Clases virtuales,SI,Olgalucia343@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Clínica odontologica cota,Carrera 5 #7-80 local 113 centro comercial terracota,3002131246,3108004513,Otro,Clínica de odontologia,NO,Clinicaodontologicacota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Club Burger Family,Calle 13 # 4-52,3124204334,0,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Club de Patinaje COLSKATER,Calle 12 # 2-44,3202685010,3142410691,Otro,Deporte y Recreacion,NO,Colskater@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Club La Barbería,Mall Comercial Cota variante Cota - Chia,3174039910,3017901617,Barbería,No Responde,SI,Clublabarberia.co@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,2,Sí,Acepto,No,Micro empresario
Club La Barbería s.a.s.,Km 18 variante cota chia mall comercial meridiano loc 21,3017901617,0,Otro,Sector belleza (barbería),NO,Clublabarberia.co@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Club maleja,Cra 5 # 10-38 local 1,3144334968,3223115611,Peluqueria - Spa de uñas - Estetica,No Responde,SI,Clubmalejaspa@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Comerciante
COBREX -  Experiencia del cliente en cobranzas y servicio al cliente,Cra 2 No. 4 - 45 Cota,3102416489,3118579757,"Asesoría en la cobranzas y servicio al cliente, con énfasis en la experiencia del cliente",No Responde,SI,patriciasalcedo.cx@gmail.com,1 a 5,No,No,Propio,No responde,25,No,Acepto,No,Emprendedor
Coco blue store,Carrera 6# 14- 22 Local 104,3105656213,0,Otro,Distribuidora  de Belleza  y de aseo,SI,ialvarezm05@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
CocoMora,Tienda virtual,3192773658,0,Otro,"Postres (gelitortas, flores 3D, arroz de leche, mermelada natural y mucho más",NO,Achury.catalina@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
COFFEEMAN,Cra.  5 # 7. 80. Local 211,3158331441,3209900454,Servicio,No Responde,SI,lunamiaceleste@hotmail. com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,8,No,Acepto,No,Emprendedor
Colcable,Carrera 4 No 8-04,3128032131,8414924,Otro,Colcable ofrece los servicios de televisión e internet,SI,colcablecota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Coltrip Representaciones Turisticas,Vereda Parcelas parcela 63 Conj Querubin- Xuaquira,3203759769,8763147,Otro,Agencia De Viajes,NO,luz.castiblanco@coltrip.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
COMERCIALIZADORA AMERICANA MG SAS,CALLE 11 Nº 3A-27,8985543,3204600682,Otro,COMERCIALIZACIÓN DE MATERIAL ELÉCTRICO Y FERRETERO,SI,comercializadoracll15@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Comercializadora y mantenimiento Santi Sas,Av el libertador altos de Toledo casa 9,3213159663,3133919466,Otro,Mantenimiento locativo e industrial,SI,mantenimientosanti@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Comidas rápidas el parche,Km 1 vía cota Chía cootranscota,3002438368,3212241423,Otro,Comidas rápidas,SI,millosmao837@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Comidas rápidas la hacienda,Carrera 5 # 11-13,3124721017,3115209420,Preparación de comidas,No Responde,SI,chapas2910@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,8,No,Acepto,No,Comerciante
Conductor independiente,Carrera 8B # 13 - 83 Piso 3,3202385921,3508379000,Otro,Servicio de transporte especial en vehículo doble cabina,SI,rafaelandresk@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Confecciónes,Crr 3 # 12-64,3144721541,0,Otro,Confección,NO,Sandrabrinez2432@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Confecciones Leticia,Carrera 3 # 13 A71,3108527955,3123484856,Otro,Costuras,NO,paola.distribelleza@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
